Task,Workload,Memory,Weight,ArrivalTime,Phase,Tokens
T1,Llama3-8B,16.0,7,0.0203,1,7941
T2,Llama3-8B,16.0,2,0.0286,1,734
T3,Mistral-7B,14.0,8,0.0846,1,7613
T4,Qwen3,30.0,6,0.1773,1,3617
T5,Qwen3,30.0,7,0.2772,1,3276
T6,GLM4.7,356.0,7,0.2948,0,1831
T7,GLM4.7,356.0,1,0.3249,0,1091
T8,Mistral-7B,14.0,4,0.3912,1,3378
T9,Mistral-7B,14.0,1,0.4835,1,5851
T10,DeepSeek-R1,672.0,1,0.5741,0,536
T11,Llama3-8B,16.0,8,0.9738,1,1546
T12,Mistral-7B,14.0,8,1.1832,1,2297
T13,Mistral-7B,14.0,3,1.2213,1,3533
T14,Llama3-8B,16.0,2,1.2393,1,6639
T15,Qwen3,30.0,10,1.2505,0,349
T16,DeepSeek-R1,672.0,7,1.3268,0,1307
T17,Llama3-70B,140.0,2,1.4512,0,534
T18,Llama3-8B,16.0,4,1.4899,1,5650
T19,DeepSeek-R1,672.0,10,1.605,1,2982
T20,DeepSeek-R1,672.0,1,2.2912,0,1287
T21,GLM4.7,356.0,6,2.3558,1,5931
T22,DeepSeek-R1,672.0,1,2.5109,1,3307
T23,Llama3-70B,140.0,7,2.5294,0,344
T24,GLM4.7,356.0,8,2.8583,1,7300
T25,Mistral-7B,14.0,9,2.8963,1,1954
T26,Mistral-7B,14.0,9,2.9318,1,7132
T27,Llama3-70B,140.0,10,3.1764,1,7276
T28,GLM4.7,356.0,2,3.2114,1,2523
T29,GLM4.7,356.0,8,3.4606,0,627
T30,Llama3-8B,16.0,6,3.4987,1,3616
T31,DeepSeek-R1,672.0,3,3.5429,1,3174
T32,Llama3-70B,140.0,5,3.5497,1,7047
T33,GLM4.7,356.0,5,3.6272,1,5395
T34,Llama3-8B,16.0,2,3.6414,1,2077
T35,Qwen3,30.0,9,3.663,0,1128
T36,Qwen3,30.0,8,3.7622,1,5803
T37,Llama3-70B,140.0,5,3.8742,0,318
T38,Qwen3,30.0,5,3.9896,1,2505
T39,Mistral-7B,14.0,9,4.0056,1,4388
T40,Llama3-8B,16.0,9,4.2398,1,6622
T41,GLM4.7,356.0,5,4.2827,1,4229
T42,GLM4.7,356.0,4,4.3469,1,1500
T43,GLM4.7,356.0,3,4.5455,1,4901
T44,Qwen3,30.0,5,4.6149,1,4478
T45,Mistral-7B,14.0,9,4.6373,1,6739
T46,Llama3-8B,16.0,4,4.8358,1,1335
T47,GLM4.7,356.0,5,4.8465,1,1981
T48,DeepSeek-R1,672.0,5,4.9209,0,387
T49,DeepSeek-R1,672.0,5,5.0501,0,1261
T50,Mistral-7B,14.0,8,5.1397,0,1434
T51,DeepSeek-R1,672.0,5,5.3294,0,1303
T52,Llama3-70B,140.0,3,5.3518,1,3303
T53,DeepSeek-R1,672.0,8,5.4048,1,7571
T54,DeepSeek-R1,672.0,8,5.4201,0,948
T55,DeepSeek-R1,672.0,1,5.4825,1,6135
T56,Qwen3,30.0,5,5.5776,1,5122
T57,DeepSeek-R1,672.0,9,5.7671,0,370
T58,Llama3-70B,140.0,10,5.7714,1,6989
T59,Qwen3,30.0,8,5.9943,0,907
T60,Llama3-70B,140.0,7,6.0502,1,5333
T61,GLM4.7,356.0,10,6.3644,1,1005
T62,Mistral-7B,14.0,4,6.3723,1,6760
T63,Mistral-7B,14.0,2,6.3814,1,5922
T64,Qwen3,30.0,2,6.4196,1,5033
T65,Qwen3,30.0,10,6.6156,1,4202
T66,Llama3-70B,140.0,5,6.7146,1,2408
T67,Mistral-7B,14.0,8,6.9187,1,7553
T68,DeepSeek-R1,672.0,5,7.4047,1,8080
T69,Mistral-7B,14.0,4,7.642,1,7097
T70,Llama3-70B,140.0,3,7.7277,1,2353
T71,GLM4.7,356.0,1,7.7398,0,274
T72,Qwen3,30.0,10,7.774,0,1346
T73,GLM4.7,356.0,5,7.8716,1,4351
T74,Mistral-7B,14.0,9,7.8873,1,2742
T75,Llama3-8B,16.0,10,8.1701,1,1170
T76,DeepSeek-R1,672.0,6,8.2522,0,1632
T77,Llama3-8B,16.0,4,8.3156,1,1260
T78,Mistral-7B,14.0,10,8.4846,0,1306
