Task,Workload,Memory,Deadline,Weight,ArrivalTime
T1,410,19,13.73,5,0.45
T2,305,17,9.82,3,0.75
T3,677,24,16.53,3,1.07
T4,458,6,14.87,4,1.62
T5,401,22,13.61,4,1.72
T6,618,21,17.95,3,2.77
T7,762,19,17.13,3,3.23
T8,423,13,14.27,3,3.68
T9,395,13,14.7,5,3.88
T10,275,15,9.03,5,3.91
T11,782,19,24.33,4,4.55
T12,316,19,14.77,2,5.06
T13,269,19,12.64,3,5.18
T14,797,15,25.67,3,5.84
T15,487,19,18.17,2,6.28
T16,736,22,27.03,5,6.47
T17,430,24,19.57,4,7.09
T18,297,14,12.33,4,7.26
T19,276,20,14.6,3,7.77
T20,509,8,21.14,3,8.31
T21,453,6,23.39,1,9.77
T22,310,7,16.06,4,10.28
T23,375,12,21.45,3,10.32
T24,547,13,22.98,4,10.34
T25,577,12,28.21,1,10.44
T26,490,12,24.55,3,10.53
T27,270,20,16.9,3,10.92
T28,506,18,19.99,4,11.46
T29,212,24,17.47,2,11.64
T30,314,14,22.98,3,13.1
T31,436,19,23.01,5,13.62
T32,674,13,32.69,1,13.72
T33,632,21,31.78,5,13.86
T34,736,23,33.94,2,14.04
T35,382,11,25.88,1,14.7
T36,766,10,40.12,1,14.88
T37,436,13,25.61,5,15.02
T38,510,16,29.09,1,15.2
T39,629,6,35.16,2,15.22
T40,598,24,31.39,2,16.53
T41,600,14,32.98,5,17.45
T42,535,7,29.67,5,18.06
T43,580,23,30.93,4,18.25
T44,399,8,33.74,4,20.51
T45,507,16,36.32,4,20.97
T46,595,6,40.77,2,22.93
T47,701,21,39.34,5,23.01
T48,692,17,35.8,2,23.51
T49,677,21,38.77,1,23.78
T50,292,18,33.31,4,23.87
T51,559,16,40.4,3,24.73
T52,306,11,34.99,1,24.81
T53,629,24,45.61,1,24.85
T54,703,18,42.47,5,26.17
T55,344,7,35.46,1,26.24
T56,593,10,40.42,4,27.23
T57,717,13,41.43,5,27.91
T58,200,19,34.13,2,27.91
T59,620,10,42.98,4,28.75
T60,634,22,48.61,5,28.78
T61,459,12,40.25,1,28.84
T62,568,23,45.68,3,28.84
T63,401,19,36.26,3,28.85
T64,739,6,42.16,5,29.67
T65,501,12,46.01,3,29.99
T66,282,7,36.97,3,31.88
T67,690,22,53.42,5,32.62
T68,690,17,52.54,1,33.07
T69,675,19,51.42,3,33.18
T70,335,19,44.3,5,34.15
T71,215,21,39.72,1,34.61
T72,350,6,45.96,3,35.2
T73,594,13,51.59,4,36.12
T74,748,18,49.4,2,36.77
T75,626,21,51.55,3,38.07
T76,377,16,47.85,3,38.34
T77,354,11,48.54,5,38.63
T78,210,24,44.81,1,39.54
T79,726,17,61.42,5,39.57
T80,506,13,52.87,4,40.65
T81,671,18,54.16,5,40.99
T82,535,15,55.71,3,42.45
T83,609,11,60.96,1,42.46
T84,715,14,65.74,3,42.89
T85,769,24,65.53,3,43.22
T86,379,8,54.02,5,43.27
T87,781,16,57.82,4,43.46
T88,685,21,60.2,4,43.75
T89,379,13,53.91,5,43.87
T90,473,23,57.9,2,44.28
T91,348,11,54.55,1,44.7
T92,548,14,55.95,4,45.31
T93,234,21,52.34,1,46.61
T94,421,17,58.44,4,46.98
T95,346,18,58.81,5,48.19
T96,679,16,65.68,3,48.89
T97,659,6,69.32,3,49.37
T98,674,16,71.01,3,50.24
T99,568,14,63.28,2,51.08
