Task,Workload,Memory,Weight,ArrivalTime,Phase,Tokens
T3,Llama3-8B,16,2,3.18,1,1709
T59,Llama3-70B,70,3,5.06,0,1063
T69,DeepSeek-R1,672,6,5.69,0,1543
T39,Qwen3,30,2,5.79,0,514
T67,Llama3-70B,70,7,6.1,1,5013
T29,Qwen3,30,5,6.35,0,632
T49,Llama3-70B,70,5,7.09,0,1380
T9,Llama3-8B,16,2,9.67,1,689
T32,Qwen3,30,3,11.16,1,2092
T71,DeepSeek-R1,672,8,11.99,0,1240
T75,DeepSeek-R1,672,8,13.09,1,5175
T24,Qwen3,30,4,14.29,1,3633
T80,DeepSeek-R1,672,7,15.77,0,1378
T42,Qwen3,30,5,16.51,1,2946
T61,Llama3-70B,70,4,16.63,0,1369
T18,Llama3-8B,16,3,17.11,0,411
T52,Llama3-70B,70,6,19.04,1,3937
T13,Llama3-8B,16,3,19.23,0,285
T23,Qwen3,30,3,21.26,1,3323
T50,Llama3-70B,70,6,21.42,1,4740
T66,Llama3-70B,70,5,21.77,1,2777
T46,Qwen3,30,2,22.47,1,1495
T48,Qwen3,30,1,22.89,1,1290
T21,Qwen3,30,1,22.9,0,986
T47,Qwen3,30,5,23.01,1,3409
T56,Llama3-70B,70,3,24.87,1,5529
T30,Qwen3,30,5,25.14,1,2917
T25,Qwen3,30,5,26.27,1,3299
T63,Llama3-70B,70,6,26.52,1,2008
T22,Qwen3,30,4,26.77,1,2292
T1,Llama3-8B,16,3,27.5,0,112
T6,Llama3-8B,16,3,27.82,1,1419
T26,Qwen3,30,4,36.2,1,3390
T16,Llama3-8B,16,1,37.02,1,1247
T36,Qwen3,30,2,37.39,1,1814
T19,Llama3-8B,16,2,37.95,0,183
T15,Llama3-8B,16,1,38.01,0,219
T55,Llama3-70B,70,3,40.26,0,600
T57,Llama3-70B,70,4,42.19,1,3837
T64,Llama3-70B,70,5,42.3,0,965
T53,Llama3-70B,70,5,42.36,1,3765
T45,Qwen3,30,3,43.81,1,3751
T58,Llama3-70B,70,3,44.31,1,3023
T68,Llama3-70B,70,7,47.68,1,2205
T27,Qwen3,30,5,49.35,0,341
T78,DeepSeek-R1,672,5,53.76,1,3819
T20,Llama3-8B,16,3,55.69,0,427
T51,Llama3-70B,70,7,57.62,1,5831
T73,DeepSeek-R1,672,10,58.37,0,1429
T72,DeepSeek-R1,672,9,59.45,0,1252
T70,DeepSeek-R1,672,5,59.5,1,4522
T37,Qwen3,30,1,59.89,1,3172
T4,Llama3-8B,16,3,60.2,1,976
T77,DeepSeek-R1,672,8,62.12,0,1009
T28,Qwen3,30,2,62.74,0,312
T65,Llama3-70B,70,7,66.19,0,1302
T74,DeepSeek-R1,672,6,66.97,1,5136
T54,Llama3-70B,70,3,67.34,1,4986
T31,Qwen3,30,1,68.17,1,1047
T7,Llama3-8B,16,1,69.81,0,488
T5,Llama3-8B,16,3,70.13,1,1966
T44,Qwen3,30,2,71.29,0,973
T40,Qwen3,30,1,73.19,0,280
T2,Llama3-8B,16,3,74.07,1,709
T34,Qwen3,30,5,76.2,0,469
T41,Qwen3,30,5,76.58,0,978
T14,Llama3-8B,16,1,77.31,1,1854
T10,Llama3-8B,16,2,80.71,0,409
T12,Llama3-8B,16,2,82.94,1,1630
T35,Qwen3,30,3,84.17,1,1435
T38,Qwen3,30,3,87.87,1,1458
T79,DeepSeek-R1,672,7,88.09,1,4085
T62,Llama3-70B,70,6,90.24,1,2875
T76,DeepSeek-R1,672,7,92.9,0,1468
T17,Llama3-8B,16,3,93.67,1,1046
T33,Qwen3,30,1,95.38,1,2858
T8,Llama3-8B,16,1,95.72,1,818
T43,Qwen3,30,4,96.44,1,3484
T60,Llama3-70B,70,3,96.9,0,1356
T11,Llama3-8B,16,1,97.31,0,374
