Task,Workload,Memory,Weight,ArrivalTime,Phase,Tokens
T_low_1,Qwen3,30,1,0.01,1,1000
T_low_2,Qwen3,30,1,0.0101,1,2000
T_low_3,Qwen3,30,1,0.0102,1,1000
T_low_4,Qwen3,30,1,0.0103,1,2000
T_low_5,Qwen3,30,1,0.0104,1,1000
T_low_6,Qwen3,30,2,0.0105,1,2000
T_low_7,Qwen3,30,2,0.0106,1,1000
T_low_8,Qwen3,30,2,0.0107,1,2000
T_low_9,Qwen3,30,2,0.0108,1,1000
T_low_10,Qwen3,30,2,0.0109,1,2000
T_low_11,Qwen3,30,3,0.011,1,1000
T_low_12,Qwen3,30,3,0.0111,1,2000
T_low_13,Qwen3,30,3,0.0112,1,1000
T_low_14,Qwen3,30,3,0.011300000000000001,1,2000
T_low_15,Qwen3,30,3,0.0114,1,1000
T_high_1,Qwen3,30,10,0.02,1,1000
T_high_2,Qwen3,30,10,0.0201,1,2000
T_high_3,Qwen3,30,10,0.0202,1,1000
T_high_4,Qwen3,30,10,0.020300000000000002,1,2000
T_high_5,Qwen3,30,10,0.0204,1,1000
T_high_6,Qwen3,30,9,0.0205,1,2000
T_high_7,Qwen3,30,9,0.0206,1,1000
T_high_8,Qwen3,30,9,0.0207,1,2000
T_high_9,Qwen3,30,9,0.0208,1,1000
T_high_10,Qwen3,30,9,0.020900000000000002,1,2000
T_high_11,Qwen3,30,8,0.021,1,1000
T_high_12,Qwen3,30,8,0.0211,1,2000
T_high_13,Qwen3,30,8,0.0212,1,1000
T_high_14,Qwen3,30,8,0.0213,1,2000
T_high_15,Qwen3,30,8,0.0214,1,1000
