Task,Workload,Memory,Weight,ArrivalTime,Phase,Tokens
T_low_long_1,Qwen3,30,1,0.01,1,5000
T_low_long_2,Qwen3,30,1,0.011,1,5000
T_low_long_3,Qwen3,30,1,0.012,1,5000
T_low_long_4,Qwen3,30,1,0.013000000000000001,1,5000
T_low_long_5,Qwen3,30,1,0.014,1,5000
T_low_long_6,Qwen3,30,1,0.015,1,5000
T_low_long_7,Qwen3,30,1,0.016,1,5000
T_low_long_8,Qwen3,30,1,0.017,1,5000
T_high_short_1,Qwen3,30,10,0.02,1,500
T_high_short_2,Qwen3,30,10,0.021,1,500
T_high_short_3,Qwen3,30,10,0.022,1,500
T_high_short_4,Qwen3,30,10,0.023,1,500
