Task,Workload,Memory,Deadline,Weight,ArrivalTime
T1,211,24,17.98,4,0.36
T2,695,12,13.79,1,0.63
T3,606,24,43.01,2,0.84
T4,364,11,40.89,2,3.76
T5,472,7,30.46,1,6.72
T6,625,24,25.26,2,7.17
T7,449,7,44.65,3,7.83
T8,586,15,35.93,3,11.51
T9,474,14,36.44,2,13.21
T10,255,11,43.3,4,13.83
T11,770,24,48.78,1,15.07
T12,99,24,65.98,2,16.21
T13,280,17,51.09,1,19.71
T14,545,21,69.81,1,23.48
T15,284,15,59.06,2,24.31
T16,383,7,70.9,1,27.55
T17,349,8,70.15,4,31.7
T18,761,8,48.23,4,32.39
T19,63,19,81.87,1,36.92
T20,382,18,70.21,1,38.64
T21,620,6,54.9,3,43.41
T22,126,13,67.04,4,45.73
T23,84,12,90.99,3,48.45
T24,553,10,77.34,2,51.52
T25,504,10,95.42,1,52.26
T26,715,18,101.22,3,53.9
T27,177,7,98.98,4,57.01
T28,661,16,106.31,1,60.06
T29,374,22,79.7,3,60.91
T30,92,14,95.74,4,64.78
T31,580,21,78.39,2,64.8
T32,540,15,114.18,2,66.01
T33,663,16,99.49,3,70.69
T34,443,10,102.82,3,75.22
T35,554,17,120.86,1,77.22
T36,318,7,99.3,4,79.52
T37,300,20,122.03,4,81.92
T38,315,13,132.11,4,82.54
T39,570,8,112.98,2,87.48
T40,584,19,117.07,2,89.19
T41,549,18,125.7,4,91.21
T42,537,19,139.48,1,95.02
T43,175,16,114.75,4,99.68
T44,236,18,120.09,2,100.81
T45,470,7,134.82,3,101.8
T46,221,22,118.09,1,105.84
T47,676,7,135.61,2,108.94
T48,266,14,132.73,3,110.56
T49,697,6,140.62,1,113.73
T50,252,13,165.45,2,117.95
T51,513,14,135.62,4,120.5
T52,92,15,158.02,2,123.05
T53,344,11,153.28,1,124.54
T54,260,23,139.7,4,126.57
T55,226,23,148.36,2,131.48
T56,96,11,173.37,1,132.43
T57,86,8,145.99,3,135.09
T58,450,8,147.91,4,136.88
T59,669,13,182.32,3,137.74
T60,699,12,169.99,2,141.15
T61,454,6,184.65,4,145.68
T62,57,14,170.26,3,147.41
T63,174,17,196.97,2,152.2
T64,273,17,194.4,3,154.24
T65,120,15,195.61,4,154.33
T66,120,18,169.74,3,154.77
T67,352,24,182.11,3,154.93
T68,677,8,194.65,1,156.51
T69,77,9,193.81,2,157.37
T70,719,15,198.13,4,157.8
T71,283,17,202.11,3,161.97
T72,323,21,209.76,2,165.6
T73,412,8,208.86,4,169.28
T74,462,12,188.17,3,173.14
T75,540,7,206.17,4,173.43
T76,557,8,212.08,4,177.33
T77,235,16,197.12,1,177.44
T78,169,13,213.58,4,181.27
T79,199,15,192.37,3,182.21
T80,125,11,225.59,4,182.44
T81,99,22,206.87,3,184.35
T82,298,24,214.22,2,188.45
T83,290,13,228.24,2,189.38
T84,791,24,216.39,1,192.77
T85,333,20,233.24,1,197.28
T86,255,13,230.19,2,197.77
T87,597,6,228.42,3,202.4
T88,48,6,236.41,2,206.88
T89,507,13,254.55,4,207.32
T90,260,20,255.29,4,207.62
T91,39,17,250.14,3,210.53
T92,643,6,248.01,1,213.58
T93,355,18,235.75,1,218.28
T94,283,17,250.64,4,220.24
T95,691,18,253.91,4,221.28
T96,643,11,248.85,1,221.72
T97,603,19,246.3,1,223.97
T98,775,24,241.71,1,224.43
T99,542,7,257.43,2,228.08
T100,277,10,258.01,4,231.47
T101,743,13,253.62,2,232.18
T102,483,23,255.92,3,232.29
T103,53,22,260.08,1,235.36
T104,595,15,256.35,2,236.74
T105,646,7,256.69,4,241.43
T106,690,7,289.08,1,244.76
T107,448,19,266.82,3,245.06
T108,399,7,258.12,4,246.65
T109,277,7,277.21,3,249.53
T110,459,6,265.19,1,249.93
T111,547,20,299.96,1,250.18
T112,451,23,278.87,2,253.43
T113,80,6,292.21,2,253.98
T114,344,16,295.15,4,255.18
T115,46,7,274.04,1,259.88
T116,252,10,295.74,4,263.36
T117,476,24,283.86,3,268.33
T118,719,11,289.44,2,268.76
T119,52,12,302.16,1,273.09
T120,787,14,310.06,4,275.29
T121,164,23,297.51,1,278.72
T122,109,19,292.29,4,279.94
T123,457,6,314.64,1,280.5
T124,671,12,306.47,2,284.26
T125,498,15,304.13,4,288.2
T126,180,16,314.75,2,288.99
T127,459,8,330.16,1,293.9
T128,377,11,344.51,3,297.27
T129,525,14,347.18,4,297.93
T130,645,6,335.06,3,301.55
T131,502,23,332.21,2,303.08
T132,59,18,336.47,3,307.41
T133,711,13,357.51,1,308.13
T134,64,21,363.03,3,313.03
T135,647,21,362.12,4,316.22
T136,237,15,330.01,1,316.62
T137,309,11,355.34,1,320.66
T138,95,23,360.39,3,324.48
T139,707,22,358.64,2,327.7
T140,645,24,343.87,2,331.15
T141,734,11,348.33,1,335.43
T142,192,16,373.05,2,336.23
T143,748,14,351.32,4,338.42
T144,369,22,386.05,3,339.7
T145,415,10,377.01,3,342.14
T146,593,15,369.82,2,346.91
T147,703,15,385.35,3,350.87
T148,90,21,371.29,3,351.17
T149,128,18,404.92,3,355.28
T150,347,22,391.55,3,358.6
T151,693,12,410.58,4,361.49
T152,635,12,413.57,2,366.11
T153,382,7,415.19,1,370.18
T154,293,24,400.29,3,371.35
T155,648,17,398.0,2,374.2
T156,200,6,389.59,2,376.99
T157,488,20,423.25,2,379.33
T158,638,8,419.45,2,381.69
T159,89,10,417.84,3,383.33
T160,465,18,399.11,4,384.5
T161,62,17,406.23,3,386.0
T162,199,19,415.19,3,387.39
T163,664,22,408.29,3,392.18
T164,740,11,417.18,4,395.57
T165,706,9,449.86,4,400.21
T166,511,22,411.35,1,401.31
T167,555,15,435.82,4,402.27
T168,588,22,416.46,2,403.16
T169,593,19,413.96,1,403.5
T170,324,11,424.7,3,408.28
T171,780,22,447.04,2,410.35
T172,629,16,459.36,4,411.09
T173,165,19,426.06,1,413.96
T174,168,8,457.8,2,415.69
T175,584,9,464.07,2,417.22
T176,166,14,457.43,2,422.17
T177,71,17,456.85,1,424.29
T178,96,17,455.95,4,425.24
T179,116,12,474.99,2,425.75
T180,350,23,473.76,4,427.49
T181,540,15,464.8,4,430.12
T182,462,14,460.73,2,434.91
T183,718,15,485.89,2,437.15
T184,416,9,467.23,4,439.8
T185,410,7,483.53,4,443.68
T186,399,18,488.06,3,444.09
T187,404,12,471.35,4,448.91
T188,250,15,498.01,4,449.92
T189,673,10,470.81,1,450.01
T190,765,16,475.96,3,453.31
T191,213,24,505.03,2,457.65
T192,676,16,493.09,1,462.14
T193,70,18,479.08,3,467.05
T194,185,12,518.57,4,470.13
T195,413,21,509.4,3,474.44
T196,652,12,490.65,3,475.49
T197,554,17,494.5,3,477.48
T198,705,6,490.38,2,479.27
T199,226,21,528.14,3,481.56
T200,226,23,497.97,3,483.39
T201,17,13,511.39,4,488.2
T202,130,11,525.65,2,490.08
T203,363,20,522.79,2,494.85
T204,608,7,535.09,1,497.7
T205,245,14,536.67,1,500.14
T206,510,7,524.15,1,503.07
T207,743,23,524.21,1,503.86
T208,682,9,528.62,3,508.19
T209,232,17,525.73,1,511.14
T210,335,17,547.79,3,512.16
T211,749,8,548.68,2,512.54
T212,363,19,538.14,2,514.1
T213,704,7,545.21,2,517.31
T214,122,19,535.12,3,519.55
T215,782,10,532.3,3,520.37
T216,147,11,533.88,4,522.1
T217,657,14,559.14,1,526.32
T218,41,14,560.15,1,531.31
T219,544,21,574.77,3,533.44
T220,376,15,579.36,4,534.19
T221,88,7,571.95,4,535.74
T222,183,11,551.66,4,537.79
T223,361,23,568.46,2,542.73
T224,402,12,557.07,2,544.71
T225,140,15,578.73,1,546.49
T226,432,7,564.78,1,548.76
T227,366,24,584.27,2,550.97
T228,667,14,582.52,3,555.2
T229,646,24,573.42,1,560.18
T230,64,15,611.66,3,564.65
T231,796,14,610.86,1,567.75
T232,611,16,602.76,2,572.56
T233,87,18,607.48,2,576.89
T234,513,17,615.82,3,580.82
T235,710,15,616.57,2,583.35
T236,60,13,604.59,1,586.95
T237,361,6,631.69,4,589.58
T238,16,24,606.27,2,594.39
T239,639,24,610.33,3,598.47
T240,52,9,644.0,1,601.88
T241,154,24,639.13,4,606.7
T242,742,10,625.5,2,607.77
T243,516,15,638.5,3,610.23
T244,332,7,646.39,2,613.94
T245,666,10,656.16,2,617.93
T246,426,23,636.08,3,618.0
T247,379,21,662.73,1,619.22
T248,770,14,652.64,4,619.97
T249,254,14,635.8,3,621.7
T250,73,17,635.3,3,622.78
T251,369,16,652.32,1,625.42
T252,468,9,653.73,1,628.68
T253,531,13,649.71,3,629.56
T254,584,16,648.07,3,630.02
T255,671,23,664.5,2,634.55
T256,455,23,659.75,1,638.05
T257,610,10,668.99,1,638.83
T258,255,23,681.71,3,639.45
T259,550,21,684.79,1,641.03
T260,312,24,678.59,1,645.15
T261,460,22,692.47,1,646.43
T262,455,14,697.71,2,649.45
